date_key,line_key,city_key,ridership,day_type,target_ridership
20230109,5,2,5226,Weekday,5334
20230110,1,1,13340,Weekday,13494
20230110,8,2,7458,Weekday,7753
20230110,7,2,9924,Weekday,10253
20230110,2,1,15292,Weekday,14571
20230110,5,2,6111,Weekday,6184
20230110,6,2,5520,Weekday,5394
20230110,4,1,7669,Weekday,7659
20230110,3,1,8359,Weekday,8024
20230111,7,2,12133,Weekday,12029
20230111,8,2,7547,Weekday,7896
20230111,5,2,6709,Weekday,6738
20230111,6,2,4904,Weekday,4783
20230111,1,1,15165,Weekday,15438
20230111,2,1,14500,Weekday,14552
20230111,4,1,9231,Weekday,9456
20230111,3,1,5907,Weekday,5628
20230112,1,1,14758,Weekday,15368
20230112,2,1,14926,Weekday,15141
20230112,3,1,7970,Weekday,7870
20230112,4,1,6265,Weekday,6417
20230112,6,2,6066,Weekday,6068
20230112,5,2,6863,Weekday,6754
20230112,7,2,13378,Weekday,13767
20230112,8,2,5447,Weekday,5371
20230113,6,2,6698,Weekday,6402
20230113,4,1,7447,Weekday,7471
20230113,3,1,6464,Weekday,6454
20230113,8,2,7065,Weekday,7057
20230113,2,1,16545,Weekday,17009
20230113,7,2,11962,Weekday,11528
20230113,5,2,6180,Weekday,6097
20230113,1,1,12494,Weekday,12327
20230114,1,1,8939,Weekend,8799
20230114,7,2,7402,Weekend,7307
20230114,8,2,3823,Weekend,3656
20230114,5,2,3548,Weekend,3553
20230114,6,2,4457,Weekend,4463
20230114,4,1,4606,Weekend,4484
20230114,3,1,4608,Weekend,4471
20230114,2,1,8684,Weekend,9029
20230115,3,1,5262,Weekend,5078
20230115,4,1,4675,Weekend,4633
20230115,5,2,4646,Weekend,4595
20230115,6,2,3989,Weekend,3987
20230115,1,1,8397,Weekend,8440
20230115,8,2,4112,Weekend,4145
20230115,7,2,6401,Weekend,6345
20230115,2,1,8702,Weekend,8390
20230116,8,2,6719,Weekday,7012
20230116,5,2,5299,Weekday,5054
20230116,6,2,6084,Weekday,5836
20230116,1,1,11273,Weekday,11744
20230116,2,1,12264,Weekday,11733
20230116,7,2,10141,Weekday,10387
20230116,3,1,7534,Weekday,7495
20230116,4,1,8020,Weekday,8379
20230117,6,2,5904,Weekday,6023
20230117,2,1,16745,Weekday,16363
20230117,7,2,9435,Weekday,9394
20230117,4,1,7635,Weekday,7569
20230117,8,2,4261,Weekday,4340
20230117,5,2,6472,Weekday,6383
20230117,1,1,16931,Weekday,16791
20230117,3,1,8205,Weekday,8080
20230118,2,1,12872,Weekday,12250
20230118,4,1,7062,Weekday,6985
20230118,1,1,11160,Weekday,11543
20230118,6,2,6048,Weekday,6174
20230118,5,2,6626,Weekday,6572
20230118,8,2,6916,Weekday,6870
20230118,7,2,10681,Weekday,10578
20230118,3,1,9127,Weekday,9054
20230119,3,1,8899,Weekday,8883
20230119,2,1,15058,Weekday,15775
20230119,1,1,15407,Weekday,15254
20230119,5,2,7047,Weekday,7386
20230119,7,2,8351,Weekday,8556
20230119,8,2,5284,Weekday,5502
20230119,4,1,6926,Weekday,6865
20230119,6,2,6756,Weekday,6950
20230120,2,1,12930,Weekday,12491
20230120,4,1,7342,Weekday,7160
20230120,7,2,11437,Weekday,11950
20230120,8,2,6204,Weekday,6460
20230120,1,1,12097,Weekday,11564
20230120,6,2,8353,Weekday,8162
20230120,3,1,7446,Weekday,7174
20230120,5,2,7259,Weekday,7263
20230121,6,2,3468,Weekend,3553
20230121,4,1,5459,Weekend,5509
20230121,8,2,2755,Weekend,2642
20230121,7,2,7256,Weekend,7480
20230121,1,1,8062,Weekend,7994
20230121,2,1,7284,Weekend,7075
20230121,3,1,4595,Weekend,4483
20230121,5,2,3965,Weekend,3862
20230122,1,1,7965,Weekend,7883
20230122,2,1,8319,Weekend,8363
20230122,3,1,4853,Weekend,4968
20230122,4,1,5148,Weekend,5371
20230122,6,2,3375,Weekend,3347
20230122,5,2,3318,Weekend,3333
20230122,8,2,3513,Weekend,3676
20230122,7,2,6258,Weekend,6262
20230123,7,2,10718,Weekday,11098
20230123,4,1,6483,Weekday,6526
20230123,3,1,7875,Weekday,7784
20230123,2,1,14433,Weekday,14111
20230123,1,1,13291,Weekday,13661
20230123,6,2,6293,Weekday,6547
20230123,8,2,7483,Weekday,7686
20230123,5,2,7869,Weekday,7785
20230124,1,1,13362,Weekday,13619
20230124,7,2,13967,Weekday,14479
20230124,8,2,6922,Weekday,6693
20230124,5,2,6697,Weekday,6617
20230124,6,2,7784,Weekday,7973
20230124,3,1,8906,Weekday,9214
20230124,4,1,7224,Weekday,7281
20230124,2,1,16666,Weekday,16703
20230125,2,1,15930,Weekday,15849
20230125,4,1,7626,Weekday,7727
20230125,1,1,16101,Weekday,15495
20230125,7,2,11487,Weekday,11980
20230125,8,2,7366,Weekday,7311
20230125,5,2,7642,Weekday,7974
20230125,6,2,5593,Weekday,5533
20230125,3,1,8148,Weekday,7903
20230126,6,2,5494,Weekday,5403
20230126,4,1,6196,Weekday,6211
20230126,3,1,8740,Weekday,8919
20230126,2,1,14449,Weekday,13896
20230126,7,2,12499,Weekday,12433
20230126,5,2,7488,Weekday,7779
20230126,1,1,14704,Weekday,15361
20230126,8,2,5954,Weekday,6151
20230127,4,1,9585,Weekday,9611
20230127,5,2,7369,Weekday,7473
20230127,1,1,11888,Weekday,12247
20230127,6,2,7732,Weekday,7618
20230127,3,1,9096,Weekday,9156
20230127,8,2,5755,Weekday,5897
20230127,2,1,14307,Weekday,14492
20230127,7,2,14487,Weekday,14388
20230128,4,1,5203,Weekend,5391
20230128,7,2,4558,Weekend,4554
20230128,8,2,3626,Weekend,3666
20230128,1,1,7563,Weekend,7252
20230128,2,1,9025,Weekend,9409
20230128,5,2,3845,Weekend,3942
20230128,3,1,4547,Weekend,4360
20230128,6,2,2816,Weekend,2709
20230129,1,1,9439,Weekend,9644
20230129,2,1,8748,Weekend,8779
20230129,3,1,4818,Weekend,5000
20230129,4,1,6046,Weekend,5953
20230129,6,2,4151,Weekend,4234
20230129,5,2,2932,Weekend,2883
20230129,8,2,3934,Weekend,3774
20230129,7,2,6218,Weekend,6006
20230130,6,2,6298,Weekday,6212
20230130,5,2,6485,Weekday,6738
20230130,8,2,7294,Weekday,7407
20230130,7,2,13257,Weekday,12684
20230130,2,1,13989,Weekday,14460
20230130,1,1,14104,Weekday,13542
20230130,3,1,7797,Weekday,7768
20230130,4,1,8632,Weekday,8772
20230131,8,2,5624,Weekday,5540
20230131,5,2,6679,Weekday,6629
20230131,6,2,6240,Weekday,6529
20230131,3,1,6930,Weekday,6753
20230131,2,1,12411,Weekday,12608
20230131,4,1,8199,Weekday,7926
20230131,7,2,13628,Weekday,13520
20230131,1,1,13646,Weekday,13921
20230201,4,1,5944,Weekday,6215
20230201,1,1,12467,Weekday,11893
20230201,2,1,18490,Weekday,17985
20230201,7,2,12977,Weekday,13077
20230201,8,2,5415,Weekday,5647
20230201,6,2,5764,Weekday,6017
20230201,3,1,8941,Weekday,9084
20230201,5,2,8787,Weekday,9164
20230202,4,1,7729,Weekday,7692
20230202,2,1,15990,Weekday,15404
20230202,3,1,6361,Weekday,6229
20230202,6,2,7140,Weekday,7050
20230202,5,2,6619,Weekday,6813
20230202,8,2,7775,Weekday,7685
20230202,7,2,13671,Weekday,13843
20230202,1,1,18155,Weekday,19043
20230203,6,2,5861,Weekday,6043
20230203,8,2,6522,Weekday,6634
20230203,7,2,12543,Weekday,12485
20230203,4,1,7051,Weekday,6933
20230203,3,1,9170,Weekday,9456
20230203,2,1,13220,Weekday,12859
20230203,1,1,16721,Weekday,17201
20230203,5,2,4443,Weekday,4328
20230204,1,1,8248,Weekend,8372
20230204,2,1,7430,Weekend,7724
20230204,4,1,4516,Weekend,4490
20230204,3,1,4961,Weekend,4801
20230204,6,2,3660,Weekend,3558
20230204,5,2,3809,Weekend,3730
20230204,8,2,3769,Weekend,3656
20230204,7,2,5850,Weekend,5891
20230205,6,2,3027,Weekend,3049
20230205,5,2,3646,Weekend,3678
20230205,8,2,3116,Weekend,3132
20230205,7,2,6562,Weekend,6654
20230205,1,1,12598,Weekend,12973
20230205,2,1,9391,Weekend,9701
20230205,4,1,5878,Weekend,5644
20230205,3,1,3601,Weekend,3546
20230206,6,2,8094,Weekday,7898
20230206,7,2,10181,Weekday,10040
20230206,4,1,7146,Weekday,7475
20230206,3,1,7511,Weekday,7178
20230206,2,1,14611,Weekday,14216
20230206,1,1,14921,Weekday,14988
20230206,8,2,7501,Weekday,7480
20230206,5,2,6564,Weekday,6367
20230207,1,1,15840,Weekday,16550
20230207,8,2,6439,Weekday,6124
20230207,7,2,12001,Weekday,12289
20230207,2,1,16208,Weekday,15863
20230207,5,2,7359,Weekday,7203
20230207,6,2,6648,Weekday,6433
20230207,4,1,7314,Weekday,7437
20230207,3,1,7379,Weekday,7112
20230208,7,2,13306,Weekday,13060
20230208,8,2,5951,Weekday,6041
20230208,5,2,6269,Weekday,6495
20230208,6,2,6912,Weekday,6771
20230208,1,1,14476,Weekday,14911
20230208,2,1,14969,Weekday,14233
20230208,4,1,8412,Weekday,8356
20230208,3,1,6630,Weekday,6905
20230209,1,1,14962,Weekday,14796
20230209,2,1,14413,Weekday,15028
20230209,3,1,7725,Weekday,7638
20230209,4,1,7187,Weekday,7495
20230209,6,2,7967,Weekday,7838
20230209,5,2,6323,Weekday,6153
20230209,7,2,14913,Weekday,15061
20230209,8,2,4443,Weekday,4485
20230210,6,2,6116,Weekday,6172
20230210,4,1,6163,Weekday,6010
20230210,3,1,8283,Weekday,8365
20230210,8,2,6824,Weekday,6545
20230210,2,1,15962,Weekday,15689
20230210,7,2,8540,Weekday,8603
20230210,5,2,7395,Weekday,7451
20230210,1,1,16440,Weekday,15836
20230211,1,1,10037,Weekend,10513
20230211,4,1,6118,Weekend,6189
20230211,3,1,4705,Weekend,4685
20230211,2,1,9904,Weekend,9687
20230211,6,2,2899,Weekend,2902
20230211,5,2,3668,Weekend,3822
20230211,8,2,3731,Weekend,3550
20230211,7,2,5456,Weekend,5365
20230212,3,1,5562,Weekend,5508
20230212,4,1,5037,Weekend,5122
20230212,2,1,10064,Weekend,9706
20230212,6,2,3609,Weekend,3658
20230212,5,2,3960,Weekend,4101
20230212,8,2,4175,Weekend,4014
20230212,7,2,7725,Weekend,7360
20230212,1,1,11789,Weekend,11978
20230213,1,1,17862,Weekday,18044
20230213,3,1,9353,Weekday,9567
20230213,4,1,7828,Weekday,8010
20230213,6,2,5415,Weekday,5515
20230213,5,2,7708,Weekday,7934
20230213,8,2,5870,Weekday,5587
20230213,7,2,12822,Weekday,12293
20230213,2,1,15975,Weekday,16507
20230214,2,1,15694,Weekday,16226
20230214,3,1,7476,Weekday,7674
20230214,6,2,7219,Weekday,7323
20230214,5,2,7699,Weekday,7996
20230214,8,2,6874,Weekday,6641
20230214,7,2,11587,Weekday,12070
20230214,4,1,9674,Weekday,9990
20230214,1,1,17009,Weekday,16259
20230215,4,1,9607,Weekday,9707
20230215,2,1,14448,Weekday,14127
20230215,1,1,14131,Weekday,13515
20230215,3,1,8309,Weekday,8144
20230215,7,2,15130,Weekday,15431
20230215,8,2,7068,Weekday,7266
20230215,5,2,5560,Weekday,5577
20230215,6,2,5278,Weekday,5417
20230216,4,1,8105,Weekday,8140
20230216,3,1,8131,Weekday,8055
20230216,2,1,14247,Weekday,13827
20230216,1,1,17647,Weekday,17260
20230216,8,2,6523,Weekday,6449
20230216,6,2,6940,Weekday,7174
20230216,7,2,14169,Weekday,14823
20230216,5,2,6476,Weekday,6348
20230217,6,2,7404,Weekday,7319
20230217,1,1,14496,Weekday,14693
20230217,2,1,11691,Weekday,12216
20230217,8,2,7045,Weekday,6759
20230217,4,1,8323,Weekday,8404
20230217,3,1,8177,Weekday,8497
20230217,5,2,7418,Weekday,7056
20230217,7,2,11044,Weekday,11494
20230218,3,1,5864,Weekend,6032
20230218,4,1,5170,Weekend,4980
20230218,2,1,13003,Weekend,13075
20230218,1,1,7916,Weekend,8101
20230218,5,2,3952,Weekend,4111
20230218,8,2,4048,Weekend,4094
20230218,7,2,7231,Weekend,7557
20230218,6,2,4633,Weekend,4554
20230219,2,1,10776,Weekend,11171
20230219,5,2,4674,Weekend,4664
20230219,3,1,4289,Weekend,4392
20230219,7,2,5197,Weekend,5338
20230219,8,2,4114,Weekend,4272
20230219,4,1,5512,Weekend,5745
20230219,1,1,9139,Weekend,9515
20230219,6,2,3722,Weekend,3566
20230220,8,2,7015,Weekday,7087
20230220,2,1,12691,Weekday,12071
20230220,7,2,17576,Weekday,16856
20230220,4,1,8799,Weekday,8488
20230220,3,1,9557,Weekday,9904
20230220,5,2,6870,Weekday,6729
20230220,6,2,5695,Weekday,5574
20230220,1,1,15602,Weekday,16019
20230221,3,1,7903,Weekday,8235
20230221,1,1,13502,Weekday,14095
20230221,6,2,5809,Weekday,6045
20230221,8,2,4874,Weekday,4636
20230221,2,1,17543,Weekday,17836
20230221,4,1,9635,Weekday,9744
20230221,7,2,16560,Weekday,16721
20230221,5,2,5781,Weekday,5670
20230222,7,2,13945,Weekday,13617
20230222,1,1,13890,Weekday,14363
20230222,3,1,9395,Weekday,9298
20230222,8,2,5492,Weekday,5313
20230222,4,1,8958,Weekday,9010
20230222,6,2,6422,Weekday,6563
20230222,5,2,5811,Weekday,5587
20230222,2,1,15448,Weekday,16185
20230223,6,2,6497,Weekday,6507
20230223,7,2,8684,Weekday,9046
20230223,8,2,6646,Weekday,6906
20230223,1,1,15991,Weekday,16250
20230223,2,1,16961,Weekday,17677
20230223,3,1,7944,Weekday,7712
20230223,5,2,7038,Weekday,6972
20230223,4,1,10401,Weekday,10597
20230224,2,1,12426,Weekday,12047
20230224,5,2,6641,Weekday,6921
20230224,3,1,7817,Weekday,7458
20230224,4,1,9215,Weekday,8789
20230224,8,2,8923,Weekday,8607
20230224,6,2,6178,Weekday,5881
20230224,1,1,16741,Weekday,15992
20230224,7,2,15343,Weekday,15543
20230225,7,2,7244,Weekend,7242
20230225,2,1,9962,Weekend,9687
20230225,4,1,6800,Weekend,6870
20230225,5,2,4295,Weekend,4400
20230225,6,2,4205,Weekend,4191
20230225,8,2,3687,Weekend,3746
20230225,1,1,10855,Weekend,11369
20230225,3,1,4437,Weekend,4511
20230226,6,2,3467,Weekend,3415
20230226,2,1,10990,Weekend,10683
20230226,3,1,5585,Weekend,5798
20230226,4,1,5883,Weekend,6070
20230226,8,2,2912,Weekend,2798
20230226,7,2,6497,Weekend,6219
20230226,5,2,3373,Weekend,3268
20230226,1,1,9316,Weekend,9777
20230227,1,1,14247,Weekday,13595
20230227,2,1,17389,Weekday,17004
20230227,3,1,10399,Weekday,9990
20230227,4,1,10532,Weekday,10565
20230227,6,2,7198,Weekday,6995
20230227,5,2,5746,Weekday,5985
20230227,7,2,8913,Weekday,8631
20230227,8,2,6461,Weekday,6469
20230228,4,1,8253,Weekday,8628
20230228,8,2,6703,Weekday,6481
20230228,5,2,4462,Weekday,4648
20230228,7,2,11950,Weekday,11836
20230228,3,1,8749,Weekday,8825
20230228,2,1,17288,Weekday,16865
20230228,6,2,7539,Weekday,7177
20230228,1,1,15689,Weekday,16394
20230301,2,1,16102,Weekday,15751
20230301,4,1,7927,Weekday,8106
20230301,1,1,17370,Weekday,17173
20230301,6,2,8079,Weekday,8098
20230301,5,2,6175,Weekday,5999
20230301,8,2,4583,Weekday,4506
20230301,7,2,12017,Weekday,11741
20230301,3,1,9717,Weekday,9369
20230302,3,1,10369,Weekday,10062
20230302,2,1,17094,Weekday,17139
20230302,1,1,13603,Weekday,13946
20230302,5,2,7470,Weekday,7448
20230302,7,2,11014,Weekday,11301
20230302,8,2,6261,Weekday,6513
20230302,4,1,7222,Weekday,7353
20230302,6,2,7234,Weekday,7011
20230303,1,1,19248,Weekday,19432
20230303,5,2,7425,Weekday,7755
20230303,4,1,10583,Weekday,10958
20230303,8,2,5882,Weekday,5950
20230303,2,1,16853,Weekday,17093
20230303,6,2,6125,Weekday,5866
20230303,3,1,9240,Weekday,8987
20230303,7,2,14395,Weekday,14724
20230304,1,1,8955,Weekend,8590
20230304,7,2,5285,Weekend,5059
20230304,5,2,4249,Weekend,4328
20230304,8,2,2867,Weekend,2834
20230304,4,1,4758,Weekend,4720
20230304,3,1,6491,Weekend,6350
20230304,6,2,3904,Weekend,3991
20230304,2,1,10546,Weekend,10961
20230305,2,1,12622,Weekend,12413
20230305,4,1,5977,Weekend,6235
20230305,8,2,4518,Weekend,4522
20230305,5,2,4856,Weekend,4708
20230305,1,1,11286,Weekend,11515
20230305,7,2,6513,Weekend,6348
20230305,6,2,4240,Weekend,4394
20230305,3,1,6773,Weekend,6865
20230306,3,1,9429,Weekday,9439
20230306,7,2,11418,Weekday,10940
20230306,1,1,18573,Weekday,18930
20230306,4,1,8627,Weekday,8209
20230306,8,2,6956,Weekday,6978
20230306,2,1,20496,Weekday,20272
20230306,5,2,8266,Weekday,8069
20230306,6,2,7224,Weekday,7355
20230307,7,2,14739,Weekday,14956
20230307,5,2,8212,Weekday,8466
20230307,8,2,8542,Weekday,8408
20230307,6,2,7536,Weekday,7234
20230307,1,1,16678,Weekday,16481
20230307,2,1,14291,Weekday,14198
20230307,4,1,10170,Weekday,10395
20230307,3,1,8819,Weekday,8977
20230308,6,2,5222,Weekday,5094
20230308,7,2,14183,Weekday,14200
20230308,5,2,6106,Weekday,6209
20230308,8,2,6778,Weekday,6517
20230308,4,1,10201,Weekday,10249
20230308,3,1,9525,Weekday,9578
20230308,1,1,17566,Weekday,17431
20230308,2,1,15517,Weekday,14841
20230309,5,2,6670,Weekday,6469
20230309,8,2,6415,Weekday,6233
20230309,4,1,9947,Weekday,9477
20230309,6,2,6059,Weekday,5932
20230309,3,1,10653,Weekday,11100
20230309,7,2,12542,Weekday,12580
20230309,1,1,17476,Weekday,17458
20230309,2,1,17252,Weekday,17550
20230310,4,1,10341,Weekday,10251
20230310,1,1,17746,Weekday,17476
20230310,3,1,7844,Weekday,7908
20230310,2,1,15526,Weekday,15632
20230310,7,2,13889,Weekday,14159
20230310,8,2,5554,Weekday,5502
20230310,5,2,7281,Weekday,7404
20230310,6,2,5941,Weekday,5709
20230311,2,1,9926,Weekend,9905
20230311,1,1,10308,Weekend,10587
20230311,4,1,6401,Weekend,6248
20230311,3,1,7599,Weekend,7475
20230311,7,2,6813,Weekend,6775
20230311,8,2,4168,Weekend,4095
20230311,5,2,5283,Weekend,5491
20230311,6,2,4754,Weekend,4987
20230312,7,2,7749,Weekend,7928
20230312,4,1,6334,Weekend,6410
20230312,2,1,11580,Weekend,11159
20230312,3,1,6974,Weekend,6976
20230312,1,1,12776,Weekend,12947
20230312,8,2,3980,Weekend,3963
20230312,5,2,4110,Weekend,4019
20230312,6,2,3649,Weekend,3780
20230313,2,1,20849,Weekday,20837
20230313,7,2,11152,Weekday,11490
20230313,5,2,8353,Weekday,7940
20230313,4,1,9993,Weekday,9526
20230313,8,2,7995,Weekday,8091
20230313,6,2,8245,Weekday,8405
20230313,1,1,16280,Weekday,15684
20230313,3,1,8920,Weekday,8967
20230314,7,2,12885,Weekday,12441
20230314,1,1,18914,Weekday,18559
20230314,8,2,5996,Weekday,5896
20230314,3,1,7435,Weekday,7346
20230314,5,2,6018,Weekday,6125
20230314,2,1,20896,Weekday,20276
20230314,6,2,6858,Weekday,7083
20230314,4,1,10293,Weekday,9787
20230315,7,2,15339,Weekday,14637
20230315,8,2,6894,Weekday,6586
20230315,5,2,8058,Weekday,8239
20230315,6,2,6929,Weekday,7234
20230315,3,1,8254,Weekday,7913
20230315,1,1,18634,Weekday,19160
20230315,2,1,17197,Weekday,17289
20230315,4,1,8697,Weekday,8598
20230316,7,2,14512,Weekday,14812
20230316,8,2,6901,Weekday,7078
20230316,5,2,5356,Weekday,5308
20230316,6,2,8941,Weekday,8631
20230316,4,1,10734,Weekday,11197
20230316,1,1,21148,Weekday,21676
20230316,2,1,17697,Weekday,18510
20230316,3,1,9433,Weekday,9579
20230317,7,2,13267,Weekday,13138
20230317,8,2,7175,Weekday,6838
20230317,5,2,4956,Weekday,4872
20230317,6,2,5539,Weekday,5507
20230317,3,1,8729,Weekday,8655
20230317,1,1,16382,Weekday,15692
20230317,2,1,18779,Weekday,18609
20230317,4,1,10492,Weekday,10649
20230318,1,1,11344,Weekend,11766
20230318,2,1,10920,Weekend,10768
20230318,3,1,4803,Weekend,5028
20230318,4,1,6232,Weekend,6248
20230318,7,2,8622,Weekend,8525
20230318,8,2,4408,Weekend,4461
20230318,5,2,2941,Weekend,2797
20230318,6,2,4413,Weekend,4218
20230319,1,1,10726,Weekend,11256
20230319,4,1,6716,Weekend,6559
20230319,7,2,5879,Weekend,5785
20230319,8,2,3455,Weekend,3475
20230319,5,2,3152,Weekend,3118
20230319,6,2,4458,Weekend,4552
20230319,2,1,12090,Weekend,12549
20230319,3,1,6860,Weekend,7157
20230320,1,1,19066,Weekday,19521
20230320,2,1,19504,Weekday,18856
20230320,3,1,9218,Weekday,8951
20230320,4,1,9702,Weekday,9900
20230320,7,2,15342,Weekday,15422
20230320,8,2,7619,Weekday,7327
20230320,5,2,5160,Weekday,5080
20230320,6,2,6380,Weekday,6316
20230321,1,1,16105,Weekday,16217
20230321,2,1,16776,Weekday,16503
20230321,3,1,8581,Weekday,8717
20230321,4,1,8235,Weekday,8180
20230321,7,2,9665,Weekday,10103
20230321,8,2,7909,Weekday,7541
20230321,5,2,7036,Weekday,6766
20230321,6,2,8126,Weekday,7967
20230322,1,1,22242,Weekday,22381
20230322,2,1,18931,Weekday,19720
20230322,3,1,9137,Weekday,9099
20230322,4,1,10770,Weekday,10638
20230322,7,2,16736,Weekday,16816
20230322,8,2,6815,Weekday,6589
20230322,5,2,8874,Weekday,9078
20230322,6,2,9466,Weekday,9454
20230323,1,1,14193,Weekday,14168
20230323,2,1,18839,Weekday,18645
20230323,3,1,10188,Weekday,10150
20230323,4,1,9114,Weekday,9302
20230323,7,2,16282,Weekday,16751
20230323,8,2,6367,Weekday,6117
20230323,5,2,7864,Weekday,7472
20230323,6,2,4633,Weekday,4824
20230324,1,1,16073,Weekday,15744
20230324,2,1,16846,Weekday,17334
20230324,3,1,8486,Weekday,8559
20230324,4,1,10358,Weekday,10850
20230324,7,2,13195,Weekday,13434
20230324,8,2,7257,Weekday,7473
20230324,5,2,8402,Weekday,8772
20230324,6,2,5282,Weekday,5389
20230325,1,1,11445,Weekend,11975
20230325,2,1,11691,Weekend,11609
20230325,3,1,6192,Weekend,5889
20230325,4,1,5976,Weekend,5886
20230325,7,2,8375,Weekend,7995
20230325,8,2,4984,Weekend,5003
20230325,5,2,4149,Weekend,4138
20230325,6,2,4267,Weekend,4073
20230326,1,1,12609,Weekend,12305
20230326,2,1,10646,Weekend,11091
20230326,3,1,6900,Weekend,6891
20230326,7,2,7614,Weekend,7373
20230326,8,2,3869,Weekend,4047
20230326,5,2,4875,Weekend,4888
20230326,6,2,4441,Weekend,4540
20230326,4,1,6088,Weekend,6248
20230327,4,1,9275,Weekday,9089
20230327,3,1,8554,Weekday,8463
20230327,2,1,15019,Weekday,15277
20230327,1,1,18238,Weekday,18156
20230327,5,2,6039,Weekday,5776
20230327,6,2,6595,Weekday,6639
20230327,7,2,12049,Weekday,12126
20230327,8,2,5909,Weekday,5785
20230328,6,2,7925,Weekday,8151
20230328,2,1,16999,Weekday,17609
20230328,5,2,8946,Weekday,9128
20230328,4,1,8263,Weekday,8050
20230328,7,2,18051,Weekday,17266
20230328,8,2,6528,Weekday,6311
20230328,3,1,10624,Weekday,10485
20230328,1,1,15516,Weekday,14886
20230329,7,2,11126,Weekday,11637
20230329,8,2,8309,Weekday,8031
20230329,5,2,6280,Weekday,6517
20230329,6,2,8380,Weekday,8074
20230329,1,1,19280,Weekday,19905
20230329,2,1,20412,Weekday,19917
20230329,3,1,9413,Weekday,9334
20230329,4,1,7787,Weekday,7744
20230330,1,1,15797,Weekday,15844
20230330,2,1,20709,Weekday,21016
20230330,3,1,10975,Weekday,10675
20230330,7,2,10228,Weekday,10010
20230330,8,2,8819,Weekday,8732
20230330,5,2,9790,Weekday,10079
20230330,6,2,7493,Weekday,7160
20230330,4,1,9166,Weekday,9382
20230331,8,2,10847,Weekday,10400
20230331,5,2,8433,Weekday,8250
20230331,6,2,6800,Weekday,7027
20230331,1,1,20127,Weekday,20631
20230331,7,2,15312,Weekday,15416
20230331,2,1,19047,Weekday,19302
20230331,3,1,9172,Weekday,9440
20230331,4,1,10702,Weekday,10431
20230401,3,1,5467,Weekend,5404
20230401,6,2,3792,Weekend,3957
20230401,8,2,4400,Weekend,4404
20230401,4,1,6539,Weekend,6462
20230401,7,2,5866,Weekend,5810
20230401,1,1,14581,Weekend,14118
20230401,5,2,5083,Weekend,5077
20230401,2,1,14527,Weekend,14128
20230402,4,1,6660,Weekend,6327
20230402,5,2,3918,Weekend,4050
20230402,8,2,4236,Weekend,4065
20230402,3,1,7225,Weekend,7573
20230402,7,2,6748,Weekend,6543
20230402,6,2,3080,Weekend,2958
